title,description,price,delivery_type,delivery_time,rank,level,server,hero_count,skin_count,amount_options,delivery_method,region,platform,service_type,target_rank,item_name,quantity
"Minecraft Java & Bedrock Edition Full Migration Access Account","Migrated Microsoft account with clean ban history on Hypixel and 24 character name.",19.99,instant,15,"","","Global",0,0,"","","Global","PC","","","",1
"Minecraft Hypixel MVP++ Rank Account | Network Level 250+","High level Hypixel account with MVP++ active, 50k Bedwars kills, and high Skywars stats.",149.00,instant,15,"","255","Hypixel",0,0,"","","Global","PC","","","",1
"Minecraft Hypixel Skyblock 1 Billion Coins (1B) Safe In-Game Delivery","Transferred via secure auction house / direct trade method. Zero ban record.",85.00,manual,30,"","","Hypixel",0,0,"","direct_trade","Global","PC","","","Hypixel Coins 1B",1
"Minecraft Hypixel Skyblock 500M Coins Bundle","Safe coin transfer with collateral items to ensure account safety.",45.00,manual,20,"","","Hypixel",0,0,"","direct_trade","Global","PC","","","Hypixel Coins 500M",1
"Minecraft OG 3-Letter Username Account [Clean History]","Rare 3-character original gamertag with full email and transaction ID access.",320.00,instant,15,"","","Global",0,0,"","","Global","PC","","","",1
"Minecraft Minecon 2016 Enderman Cape Account","Original Minecon 2016 attendee cape linked to verified Microsoft account.",260.00,instant,15,"","","Global",0,0,"","","Global","PC","","","",1
"Minecraft Hypixel Skyblock Hyperion Weapon [Max Enchants + Wither Impact]","Fully scrolled Chimera V Hyperion ready for Master Mode dungeons.",110.00,manual,15,"","","Hypixel",0,0,"","direct_trade","Global","PC","","","Hyperion Maxed",1
"Minecraft Hypixel Skyblock Terminator Bow [Overload 5 + Power 7]","Endgame Terminator bow with max stats and full gemstone slots.",95.00,manual,15,"","","Hypixel",0,0,"","direct_trade","Global","PC","","","Terminator Bow",1
"Minecraft Java Edition Unmigrated Clean Legacy Account","Vintage legacy account ready for Microsoft setup and custom email tie.",35.00,instant,15,"","","Global",0,0,"","","Global","PC","","","",1
"Minecraft Hypixel VIP Rank Account | Level 60+","Affordable Hypixel ranked account with clean record and basic cosmetic perks.",24.50,instant,15,"","65","Hypixel",0,0,"","","Global","PC","","","",1
