title,description,price,delivery_type,delivery_time,rank,level,server,hero_count,skin_count,amount_options,delivery_method,region,platform,service_type,target_rank,item_name,quantity
"Minecraft Hypixel VIP Rank Account | Level 60+","Affordable Hypixel ranked account with clean record and basic cosmetic perks.",24.50,instant,15,"","65","Hypixel",0,0,"","","Global","PC","","","",1
"Netflix Premium Ultra HD 4K 1-Month Private Account (4 Screens)","Dedicated private subscription account with 4 UHD screens and custom profiles.",4.99,instant,15,"","","Global",0,0,"","login","Global","PC","","","",1
"Netflix Premium Ultra HD 3-Months Private Subscription","3-month guaranteed private UHD profile with renewal support.",13.50,instant,15,"","","Global",0,0,"","login","Global","Mobile","","","",1
"Netflix Premium Ultra HD 6-Months Private Account","6-month access with full warranty and immediate replacement guarantee.",24.99,instant,15,"","","Global",0,0,"","login","Global","PC","","","",1
"Netflix Premium Ultra HD 12-Months Annual Plan Account","Full 1-year uninterrupted subscription with customer support warranty.",45.00,instant,15,"","","Global",0,0,"","login","Global","PC","","","",1
"Netflix Premium 1 Profile (Shared Account) 1-Month Access","Private PIN-locked single screen profile on a Premium 4K family account.",2.20,instant,15,"","","Global",0,0,"","login","Global","Mobile","","","",1
"Netflix Premium 1 Profile 3-Months Access [PIN Protected]","Personal dedicated profile on high-speed premium subscription.",5.99,instant,15,"","","Global",0,0,"","login","Global","PC","","","",1
"Netflix 1-Month Global Gift Card Voucher (Digital Code)","Prepaid digital code to add balance directly to your existing Netflix account.",15.00,auto,5,"","","Global",0,0,"","redeem_code","Global","PC","","","Netflix Voucher $15",1
"Netflix 3-Months Global Gift Card Code","Instant digital gift card pin redeemable worldwide without VPN.",40.00,auto,5,"","","Global",0,0,"","redeem_code","Global","PC","","","Netflix Voucher $40",1
"Netflix Premium 4K Ultra HD 2-Screens Dedicated Plan","Custom plan supporting 2 simultaneous streams on TV and Mobile.",8.50,instant,15,"","","Global",0,0,"","login","Global","Mobile","","","",1
"Netflix Premium 1 Profile 6-Months Long-Term Access","Extended 6-month profile access with locked individual credentials.",11.50,instant,15,"","","Global",0,0,"","login","Global","PC","","","",1
